"","week","weeks_since","age_group","inc"
"1",2022-12-03,-4,"All",9.3
"2",2022-12-03,-4,"0-17 years",1.7
"3",2022-12-03,-4,"75+ years",59.7
"4",2022-12-03,-4,"65-74 years",20.5
"5",2022-12-03,-4,"50-64 years",8.5
"6",2022-12-03,-4,"18-49 years",3.7
"7",2022-12-10,-3,"All",9.4
"8",2022-12-10,-3,"0-17 years",1.9
"9",2022-12-10,-3,"75+ years",60.1
"10",2022-12-10,-3,"65-74 years",19.7
"11",2022-12-10,-3,"50-64 years",9.1
"12",2022-12-10,-3,"18-49 years",3.5
"13",2022-12-17,-2,"All",9.5
"14",2022-12-17,-2,"0-17 years",1.6
"15",2022-12-17,-2,"75+ years",59.5
"16",2022-12-17,-2,"65-74 years",21.7
"17",2022-12-17,-2,"50-64 years",8.7
"18",2022-12-17,-2,"18-49 years",3.9
"19",2022-12-24,-1,"All",9.7
"20",2022-12-24,-1,"0-17 years",1.7
"21",2022-12-24,-1,"75+ years",64.2
"22",2022-12-24,-1,"65-74 years",20.8
"23",2022-12-24,-1,"50-64 years",9.2
"24",2022-12-24,-1,"18-49 years",3.5
"25",2022-12-31,0,"All",10.9
"26",2022-12-31,0,"0-17 years",1.7
"27",2022-12-31,0,"75+ years",73.8
"28",2022-12-31,0,"65-74 years",22.7
"29",2022-12-31,0,"50-64 years",9.4
"30",2022-12-31,0,"18-49 years",4.3
"31",2023-01-07,1,"All",10.3
"32",2023-01-07,1,"0-17 years",1.6
"33",2023-01-07,1,"75+ years",66.2
"34",2023-01-07,1,"65-74 years",23.2
"35",2023-01-07,1,"50-64 years",9.5
"36",2023-01-07,1,"18-49 years",3.9
"37",2023-01-14,2,"All",8.1
"38",2023-01-14,2,"0-17 years",1.4
"39",2023-01-14,2,"75+ years",52.2
"40",2023-01-14,2,"65-74 years",16.4
"41",2023-01-14,2,"50-64 years",7.6
"42",2023-01-14,2,"18-49 years",3.3
"43",2023-01-21,3,"All",6.9
"44",2023-01-21,3,"0-17 years",1.3
"45",2023-01-21,3,"75+ years",43.7
"46",2023-01-21,3,"65-74 years",14
"47",2023-01-21,3,"50-64 years",6.6
"48",2023-01-21,3,"18-49 years",2.9
"49",2023-01-28,4,"All",6.6
"50",2023-01-28,4,"0-17 years",1.4
"51",2023-01-28,4,"75+ years",41.7
"52",2023-01-28,4,"65-74 years",14.3
"53",2023-01-28,4,"50-64 years",5.7
"54",2023-01-28,4,"18-49 years",2.7
"55",2023-02-04,5,"All",6.2
"56",2023-02-04,5,"0-17 years",1.4
"57",2023-02-04,5,"75+ years",37.7
"58",2023-02-04,5,"65-74 years",12.7
"59",2023-02-04,5,"50-64 years",6.3
"60",2023-02-04,5,"18-49 years",2.4
"61",2023-02-11,6,"All",6.4
"62",2023-02-11,6,"0-17 years",1.4
"63",2023-02-11,6,"75+ years",41.4
"64",2023-02-11,6,"65-74 years",13.6
"65",2023-02-11,6,"50-64 years",5.8
"66",2023-02-11,6,"18-49 years",2.5
"67",2023-02-18,7,"All",6.3
"68",2023-02-18,7,"0-17 years",1.2
"69",2023-02-18,7,"75+ years",40.3
"70",2023-02-18,7,"65-74 years",13.6
"71",2023-02-18,7,"50-64 years",5.6
"72",2023-02-18,7,"18-49 years",2.5
"73",2023-02-25,8,"All",5.8
"74",2023-02-25,8,"0-17 years",1.1
"75",2023-02-25,8,"75+ years",38.5
"76",2023-02-25,8,"65-74 years",12.5
"77",2023-02-25,8,"50-64 years",5.3
"78",2023-02-25,8,"18-49 years",2
"79",2023-03-04,9,"All",5.4
"80",2023-03-04,9,"0-17 years",1
"81",2023-03-04,9,"75+ years",36.2
"82",2023-03-04,9,"65-74 years",11.1
"83",2023-03-04,9,"50-64 years",5
"84",2023-03-04,9,"18-49 years",2.1
"85",2023-03-11,10,"All",4.8
"86",2023-03-11,10,"0-17 years",0.8
"87",2023-03-11,10,"75+ years",31.9
"88",2023-03-11,10,"65-74 years",10.8
"89",2023-03-11,10,"50-64 years",4.8
"90",2023-03-11,10,"18-49 years",1.6
"91",2023-03-18,11,"All",4.4
"92",2023-03-18,11,"0-17 years",0.8
"93",2023-03-18,11,"75+ years",28.3
"94",2023-03-18,11,"65-74 years",9.7
"95",2023-03-18,11,"50-64 years",4.1
"96",2023-03-18,11,"18-49 years",1.6
"97",2023-03-25,12,"All",4.3
"98",2023-03-25,12,"0-17 years",0.8
"99",2023-03-25,12,"75+ years",29.6
"100",2023-03-25,12,"65-74 years",8.8
"101",2023-03-25,12,"50-64 years",3.9
"102",2023-03-25,12,"18-49 years",1.4
"103",2023-04-01,13,"All",3.7
"104",2023-04-01,13,"0-17 years",0.6
"105",2023-04-01,13,"75+ years",26.2
"106",2023-04-01,13,"65-74 years",7.3
"107",2023-04-01,13,"50-64 years",3.3
"108",2023-04-01,13,"18-49 years",1.2
"109",2023-04-08,14,"All",3.3
"110",2023-04-08,14,"0-17 years",0.5
"111",2023-04-08,14,"75+ years",22.5
"112",2023-04-08,14,"65-74 years",7
"113",2023-04-08,14,"50-64 years",2.9
"114",2023-04-08,14,"18-49 years",1.2
"115",2023-04-15,15,"All",3.2
"116",2023-04-15,15,"0-17 years",0.6
"117",2023-04-15,15,"75+ years",22.2
"118",2023-04-15,15,"65-74 years",6.9
"119",2023-04-15,15,"50-64 years",3
"120",2023-04-15,15,"18-49 years",1
"121",2023-04-22,16,"All",2.9
"122",2023-04-22,16,"0-17 years",0.5
"123",2023-04-22,16,"75+ years",20.9
"124",2023-04-22,16,"65-74 years",6.5
"125",2023-04-22,16,"50-64 years",2.4
"126",2023-04-22,16,"18-49 years",0.9
"127",2023-04-29,17,"All",2.5
"128",2023-04-29,17,"0-17 years",0.4
"129",2023-04-29,17,"75+ years",18.3
"130",2023-04-29,17,"65-74 years",5.3
"131",2023-04-29,17,"50-64 years",2.1
"132",2023-04-29,17,"18-49 years",0.8
"133",2023-05-06,18,"All",2.3
"134",2023-05-06,18,"0-17 years",0.4
"135",2023-05-06,18,"75+ years",16
"136",2023-05-06,18,"65-74 years",5.2
"137",2023-05-06,18,"50-64 years",1.9
"138",2023-05-06,18,"18-49 years",0.8
"139",2023-05-13,19,"All",2.2
"140",2023-05-13,19,"0-17 years",0.4
"141",2023-05-13,19,"75+ years",15.3
"142",2023-05-13,19,"65-74 years",5.1
"143",2023-05-13,19,"50-64 years",1.7
"144",2023-05-13,19,"18-49 years",0.8
"145",2023-05-20,20,"All",2
"146",2023-05-20,20,"0-17 years",0.5
"147",2023-05-20,20,"75+ years",14.7
"148",2023-05-20,20,"65-74 years",4.7
"149",2023-05-20,20,"50-64 years",1.4
"150",2023-05-20,20,"18-49 years",0.6
"151",2023-05-27,21,"All",1.9
"152",2023-05-27,21,"0-17 years",0.3
"153",2023-05-27,21,"75+ years",13.9
"154",2023-05-27,21,"65-74 years",4.1
"155",2023-05-27,21,"50-64 years",1.6
"156",2023-05-27,21,"18-49 years",0.6
"157",2023-06-03,22,"All",1.5
"158",2023-06-03,22,"0-17 years",0.2
"159",2023-06-03,22,"75+ years",11.2
"160",2023-06-03,22,"65-74 years",2.9
"161",2023-06-03,22,"50-64 years",1.6
"162",2023-06-03,22,"18-49 years",0.5
"163",2023-06-10,23,"All",1.4
"164",2023-06-10,23,"0-17 years",0.2
"165",2023-06-10,23,"75+ years",9.8
"166",2023-06-10,23,"65-74 years",3.1
"167",2023-06-10,23,"50-64 years",1
"168",2023-06-10,23,"18-49 years",0.5
"169",2023-06-17,24,"All",1.4
"170",2023-06-17,24,"0-17 years",0.1
"171",2023-06-17,24,"75+ years",9.6
"172",2023-06-17,24,"65-74 years",3.8
"173",2023-06-17,24,"50-64 years",1.1
"174",2023-06-17,24,"18-49 years",0.5
"175",2023-06-24,25,"All",1.4
"176",2023-06-24,25,"0-17 years",0.3
"177",2023-06-24,25,"75+ years",9.6
"178",2023-06-24,25,"65-74 years",3
"179",2023-06-24,25,"50-64 years",1.1
"180",2023-06-24,25,"18-49 years",0.4
"181",2023-07-01,26,"All",1.4
"182",2023-07-01,26,"0-17 years",0.2
"183",2023-07-01,26,"75+ years",10.4
"184",2023-07-01,26,"65-74 years",2.8
"185",2023-07-01,26,"50-64 years",1.3
"186",2023-07-01,26,"18-49 years",0.4
"187",2023-07-08,27,"All",1.3
"188",2023-07-08,27,"0-17 years",0.3
"189",2023-07-08,27,"75+ years",9.8
"190",2023-07-08,27,"65-74 years",3
"191",2023-07-08,27,"50-64 years",1
"192",2023-07-08,27,"18-49 years",0.4
"193",2023-07-15,28,"All",1.5
"194",2023-07-15,28,"0-17 years",0.2
"195",2023-07-15,28,"75+ years",11
"196",2023-07-15,28,"65-74 years",3.4
"197",2023-07-15,28,"50-64 years",1.3
"198",2023-07-15,28,"18-49 years",0.5
"199",2023-07-22,29,"All",1.7
"200",2023-07-22,29,"0-17 years",0.2
"201",2023-07-22,29,"75+ years",11.5
"202",2023-07-22,29,"65-74 years",4
"203",2023-07-22,29,"50-64 years",1.4
"204",2023-07-22,29,"18-49 years",0.6
"205",2023-07-29,30,"All",2.2
"206",2023-07-29,30,"0-17 years",0.3
"207",2023-07-29,30,"75+ years",16.4
"208",2023-07-29,30,"65-74 years",5.1
"209",2023-07-29,30,"50-64 years",1.9
"210",2023-07-29,30,"18-49 years",0.6
"211",2023-08-05,31,"All",2.5
"212",2023-08-05,31,"0-17 years",0.6
"213",2023-08-05,31,"75+ years",17.3
"214",2023-08-05,31,"65-74 years",5.4
"215",2023-08-05,31,"50-64 years",1.9
"216",2023-08-05,31,"18-49 years",0.8
"217",2023-08-12,32,"All",2.9
"218",2023-08-12,32,"0-17 years",0.7
"219",2023-08-12,32,"75+ years",19.3
"220",2023-08-12,32,"65-74 years",5.7
"221",2023-08-12,32,"50-64 years",2.4
"222",2023-08-12,32,"18-49 years",1.1
"223",2023-08-19,33,"All",3.3
"224",2023-08-19,33,"0-17 years",0.8
"225",2023-08-19,33,"75+ years",23.9
"226",2023-08-19,33,"65-74 years",7.1
"227",2023-08-19,33,"50-64 years",2.4
"228",2023-08-19,33,"18-49 years",1
"229",2023-08-26,34,"All",4
"230",2023-08-26,34,"0-17 years",1.1
"231",2023-08-26,34,"75+ years",27.1
"232",2023-08-26,34,"65-74 years",8.5
"233",2023-08-26,34,"50-64 years",3.4
"234",2023-08-26,34,"18-49 years",1.2
"235",2023-09-02,35,"All",4.1
"236",2023-09-02,35,"0-17 years",0.9
"237",2023-09-02,35,"75+ years",29.1
"238",2023-09-02,35,"65-74 years",8.7
"239",2023-09-02,35,"50-64 years",3.1
"240",2023-09-02,35,"18-49 years",1.3
"241",2023-09-09,36,"All",4.3
"242",2023-09-09,36,"0-17 years",1.1
"243",2023-09-09,36,"75+ years",29.5
"244",2023-09-09,36,"65-74 years",9.3
"245",2023-09-09,36,"50-64 years",3.4
"246",2023-09-09,36,"18-49 years",1.5
"247",2023-09-16,37,"All",4.4
"248",2023-09-16,37,"0-17 years",0.9
"249",2023-09-16,37,"75+ years",31.9
"250",2023-09-16,37,"65-74 years",9.2
"251",2023-09-16,37,"50-64 years",3.7
"252",2023-09-16,37,"18-49 years",1.3
"253",2023-09-23,38,"All",4.4
"254",2023-09-23,38,"0-17 years",0.5
"255",2023-09-23,38,"75+ years",34.2
"256",2023-09-23,38,"65-74 years",9.3
"257",2023-09-23,38,"50-64 years",4
"258",2023-09-23,38,"18-49 years",1.1
"259",2023-09-30,39,"All",4.6
"260",2023-09-30,39,"0-17 years",0.8
"261",2023-09-30,39,"75+ years",33.3
"262",2023-09-30,39,"65-74 years",11
"263",2023-09-30,39,"50-64 years",3.9
"264",2023-09-30,39,"18-49 years",1.2
"265",2023-10-07,40,"All",4.5
"266",2023-10-07,40,"0-17 years",0.8
"267",2023-10-07,40,"75+ years",34.2
"268",2023-10-07,40,"65-74 years",9.2
"269",2023-10-07,40,"50-64 years",3.5
"270",2023-10-07,40,"18-49 years",1.3
"271",2023-10-14,41,"All",4.1
"272",2023-10-14,41,"0-17 years",0.6
"273",2023-10-14,41,"75+ years",31.6
"274",2023-10-14,41,"65-74 years",8.7
"275",2023-10-14,41,"50-64 years",3.2
"276",2023-10-14,41,"18-49 years",1.1
"277",2023-10-21,42,"All",4.1
"278",2023-10-21,42,"0-17 years",0.8
"279",2023-10-21,42,"75+ years",31.4
"280",2023-10-21,42,"65-74 years",8.8
"281",2023-10-21,42,"50-64 years",3.2
"282",2023-10-21,42,"18-49 years",1
"283",2023-10-28,43,"All",4.1
"284",2023-10-28,43,"0-17 years",0.6
"285",2023-10-28,43,"75+ years",30.5
"286",2023-10-28,43,"65-74 years",9.2
"287",2023-10-28,43,"50-64 years",3.5
"288",2023-10-28,43,"18-49 years",1.2
"289",2023-11-04,44,"All",4.1
"290",2023-11-04,44,"0-17 years",0.7
"291",2023-11-04,44,"75+ years",28.1
"292",2023-11-04,44,"65-74 years",9.8
"293",2023-11-04,44,"50-64 years",3.2
"294",2023-11-04,44,"18-49 years",1.4
"295",2023-11-11,45,"All",4.6
"296",2023-11-11,45,"0-17 years",0.8
"297",2023-11-11,45,"75+ years",33.7
"298",2023-11-11,45,"65-74 years",10.1
"299",2023-11-11,45,"50-64 years",4
"300",2023-11-11,45,"18-49 years",1.3
"301",2023-11-18,46,"All",4.5
"302",2023-11-18,46,"0-17 years",0.8
"303",2023-11-18,46,"75+ years",32.7
"304",2023-11-18,46,"65-74 years",9.9
"305",2023-11-18,46,"50-64 years",4.1
"306",2023-11-18,46,"18-49 years",1.1
"307",2023-11-25,47,"All",4.8
"308",2023-11-25,47,"0-17 years",1
"309",2023-11-25,47,"75+ years",32.9
"310",2023-11-25,47,"65-74 years",12.3
"311",2023-11-25,47,"50-64 years",4.1
"312",2023-11-25,47,"18-49 years",1.3
"313",2023-12-02,48,"All",5.9
"314",2023-12-02,48,"0-17 years",1
"315",2023-12-02,48,"75+ years",43.6
"316",2023-12-02,48,"65-74 years",13.3
"317",2023-12-02,48,"50-64 years",5
"318",2023-12-02,48,"18-49 years",1.6
"319",2023-12-09,49,"All",5.9
"320",2023-12-09,49,"0-17 years",1.3
"321",2023-12-09,49,"75+ years",41.3
"322",2023-12-09,49,"65-74 years",13.2
"323",2023-12-09,49,"50-64 years",5.3
"324",2023-12-09,49,"18-49 years",1.7
"325",2023-12-16,50,"All",6
"326",2023-12-16,50,"0-17 years",1.2
"327",2023-12-16,50,"75+ years",41.4
"328",2023-12-16,50,"65-74 years",13.7
"329",2023-12-16,50,"50-64 years",5.2
"330",2023-12-16,50,"18-49 years",1.8
"331",2023-12-23,51,"All",6.5
"332",2023-12-23,51,"0-17 years",1.3
"333",2023-12-23,51,"75+ years",48.3
"334",2023-12-23,51,"65-74 years",14
"335",2023-12-23,51,"50-64 years",5.2
"336",2023-12-23,51,"18-49 years",1.8
"337",2023-12-30,52,"All",7.5
"338",2023-12-30,52,"0-17 years",1.4
"339",2023-12-30,52,"75+ years",56.6
"340",2023-12-30,52,"65-74 years",17.3
"341",2023-12-30,52,"50-64 years",5.7
"342",2023-12-30,52,"18-49 years",2.1
